Source_Layer,Predictor,Outcome,N,Observed_Rho,Admissible_Permutations,Extreme_Permutations,Exact_TwoSided_p,Permutation_Rho_Min,Permutation_Rho_Max
PRODUCT_ADJUSTED,CMC_P95,Outcome,11,0.8181818181818182,3456,24,0.006944444444444444,-0.8727272727272729,0.8909090909090911
PRODUCT_ADJUSTED,CMC_ROBUST,Outcome,11,0.8363636363636365,3456,17,0.004918981481481482,-0.8545454545454546,0.8909090909090911
PRODUCT_ADJUSTED,CN0,Outcome,11,-0.7448767935921586,3456,59,0.01707175925925926,-0.8276408817690653,0.8736209307562355
UNADJUSTED,CMC_P95,Outcome,11,0.8454545454545455,3456,12,0.003472222222222222,-0.8454545454545455,0.8909090909090911
UNADJUSTED,CMC_ROBUST,Outcome,11,0.790909090909091,3456,17,0.004918981481481482,-0.8272727272727273,0.8272727272727273
UNADJUSTED,CN0,Outcome,11,-0.790856842579329,3456,17,0.004918981481481482,-0.8506309062626504,0.800052852376763
