Source_Layer,Metric,N,Test_N,Test_Sizes,Between_SS_Fraction,MS_Between,MS_Within,ICC_Test_Descriptive
PRODUCT_ADJUSTED,CMC_P95,11,3,3/4/4,0.030305551640192396,43.20882287939368,345.6409254958235,-0.3134277896423997
PRODUCT_ADJUSTED,CMC_ROBUST,11,3,3/4/4,0.024521714380235964,10.201759265560796,101.45696263691482,-0.3250365587091572
PRODUCT_ADJUSTED,CN0,11,3,3/4/4,0.001426436137548634,0.18674639772727436,32.682853968749995,-0.37206007227587967
PRODUCT_ADJUSTED,Outcome,11,3,3/4/4,0.1632141658753994,5.36964658203343,6.882435985261503,-0.06376940394684807
UNADJUSTED,CMC_P95,11,3,3/4/4,0.030305551640192396,43.20882287939368,345.6409254958235,-0.3134277896423997
UNADJUSTED,CMC_ROBUST,11,3,3/4/4,0.024521714380235964,10.201759265560796,101.45696263691482,-0.3250365587091572
UNADJUSTED,CN0,11,3,3/4/4,0.001426436137548634,0.18674639772727436,32.682853968749995,-0.37206007227587967
UNADJUSTED,Outcome,11,3,3/4/4,0.1563426174136687,6.053055033156362,8.165886964159982,-0.0759226216542079
