Claim_ID,Evidence_Role,Metric,Predictor,Outcome,Population,Adjustment,Statistical_Test,N,Rho,P,Q,Permutation_N,Between_SS_Fraction,ICC_Test,Source_CSV,Source_Row,Manuscript_Role,Lock_Status
C12-013,DESCRIPTIVE_CLUSTERING_DIAGNOSTIC,CMC_P95,,,Final_11_dataset_level_evidence_set,Product-adjusted layer,Descriptive Test-level variance decomposition / ICC,11,,,,,0.0303055516401923,-0.3134277896423997,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_VARIANCE_ICC.csv,2,Descriptive diagnostic only; not proof of independence,LOCKED
C12-014,DESCRIPTIVE_CLUSTERING_DIAGNOSTIC,CMC_ROBUST,,,Final_11_dataset_level_evidence_set,Product-adjusted layer,Descriptive Test-level variance decomposition / ICC,11,,,,,0.0245217143802359,-0.3250365587091572,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_VARIANCE_ICC.csv,3,Descriptive diagnostic only; not proof of independence,LOCKED
C12-015,DESCRIPTIVE_CLUSTERING_DIAGNOSTIC,CN0,,,Final_11_dataset_level_evidence_set,Product-adjusted layer,Descriptive Test-level variance decomposition / ICC,11,,,,,0.0014264361375486,-0.3720600722758796,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_VARIANCE_ICC.csv,4,Descriptive diagnostic only; not proof of independence,LOCKED
C12-016,DESCRIPTIVE_CLUSTERING_DIAGNOSTIC,Horizontal_RMSE_2D,,,Final_11_dataset_level_evidence_set,Product-adjusted layer,Descriptive Test-level variance decomposition / ICC,11,,,,,0.1632141658753994,-0.063769403946848,C:\IEEE\GNSS_ANALYSIS\COMMENT11_CLUSTER_DEPENDENCE_AUDIT_V1_1\COMMENT11_V1_1_VARIANCE_ICC.csv,5,Descriptive diagnostic only; not proof of independence,LOCKED
