Product,Test,Receiver,Receiver_ID,POS_File,Exists,Bytes,Parse_Status,Raw_N,Clean_N,Outlier_N,Outlier_pct,Solution_Status,Status_Reason,Contamination_Class,Filter_Method,RAW_RMSE_2D_m,RAW_RMSE_3D_m,CLEAN_RMSE_2D_m,CLEAN_RMSE_3D_m
GFZ,Test-3,CHC I80,C3,C:\IEEE\RTKLIB_DATA\GFZ\CHC3.pos,True,535403,OK,3660,2126,1534.0,41.91256830601093,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,0.9827307592551829,1.0960209171630673,1.0178402347642932,1.1293904812097215
GFZ,Test-3,TRIMBLE OEM MB2,OEM3,C:\IEEE\RTKLIB_DATA\GFZ\OEM3.pos,True,465907,OK,3184,2230,954.0,29.962311557788944,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,0.30297816349678813,0.36007871534662655,0.30959392730111407,0.3631433885054698
GFZ,Test-3,XIAOMI-1,T13,C:\IEEE\RTKLIB_DATA\GFZ\T13.pos,True,535394,OK,3660,2477,1183.0,32.322404371584696,USABLE,MEETS_SOLUTION_QC,MODERATE,MCD_CHI2_99.73,4.46341954207756,4.831619146898997,4.634846950352152,5.05416262849768
GFZ,Test-3,XIAOMI-2,T23,C:\IEEE\RTKLIB_DATA\GFZ\T23.pos,True,534664,OK,3655,2285,1370.0,37.482900136798904,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,2.9049174296914946,8.313222341797726,2.9002276993624885,8.305715483414804
GRG,Test-1,CHC I80,C1,C:\IEEE\RTKLIB_DATA\GRG\CHC1.pos,True,818205,OK,5597,4500,1097.0,19.599785599428266,USABLE,MEETS_SOLUTION_QC,LOW,MCD_CHI2_99.73,0.07881408508040401,0.2792992262864375,0.07791520677560615,0.27783725113941415
GRG,Test-1,TRIMBLE OEM MB2,OEM1,C:\IEEE\RTKLIB_DATA\GRG\OEM1.pos,True,1043,EMPTY_OR_UNPARSEABLE,0,0,,,FAILED,EMPTY_OR_UNPARSEABLE,NOT_APPLICABLE,,,,,
GRG,Test-1,XIAOMI-1,T11,C:\IEEE\RTKLIB_DATA\GRG\T11.pos,True,756292,OK,5173,2703,2470.0,47.747921902184416,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,5.925239776442388,6.930618813853139,5.624639483423105,6.329208693249638
GRG,Test-1,XIAOMI-2,T21,C:\IEEE\RTKLIB_DATA\GRG\T21.pos,True,771330,OK,5276,3020,2256.0,42.759666413949965,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,6.531111518098316,6.74561938033694,6.511040303463253,6.55134482271436
GRG,Test-2,CHC I80,C2,C:\IEEE\RTKLIB_DATA\GRG\CHC2.pos,True,759221,OK,5193,5060,133.0,2.5611399961486616,USABLE,MEETS_SOLUTION_QC,LOW,MCD_CHI2_99.73,0.08009616472976663,0.14567700151064783,0.07993594049929949,0.14578157752651646
GRG,Test-2,TRIMBLE OEM MB2,OEM2,C:\IEEE\RTKLIB_DATA\GRG\OEM2.pos,True,521679,OK,3566,1950,1616.0,45.316881660123386,USABLE,MEETS_SOLUTION_QC,HIGH,MCD_CHI2_99.73,0.050569682083736585,0.3466205746836155,0.05654096999847377,0.363548337190518
