Test,Receiver_ID,Receiver,Receiver_Class,Dataset_ID,Expected_Product_N,USABLE_Product_N,FAILED_Product_N,Product_Availability_pct,Median_RMSE2D_m,Median_RMSE3D_m,Median_Contamination_pct,Median_AbsBiasU_m,RMSE2D_Product_Range_m,RMSE2D_Product_IQR_m,RMSE2D_Product_CV_pct,RMSE2D_Product_MaxMinRatio,Best_Product_RMSE2D,Worst_Product_RMSE2D,CN0_Median_dBHz,QZ_CN0_Median_dBHz,CN0_RobustSigma_dB,QZ_CN0_RobustSigma_dB,GPS_L1_CMC_RobustSigma_m,QZ_GPS_L1_CMC_RobustSigma_m,GPS_L1_CMC_P95Abs_m,QZ_GPS_L1_CMC_P95Abs_m,PhaseDiscontinuity_Rate_per1000,QZ_PhaseDiscontinuity_Rate_per1000,Median_PhaseArc_Length_s,QZ_Median_PhaseArc_Length_s,Epoch_Retention_pct,QZ_Epoch_Retention_pct,Observation_Completeness_pct,QZ_Observation_Completeness_pct,Median_Usable_Satellites,QZ_Median_Usable_Satellites,MultiFrequency_Availability_pct,QZ_MultiFrequency_Availability_pct,Signal_Diversity_Count,QZ_Signal_Diversity_Count,GPS_L5_CMC_RobustSigma_m,QZ_GPS_L5_CMC_RobustSigma_m
Test-1,C1,CHC I80,Geodetic,Test-1|C1,6,6,0,100.0,0.19933533471157727,0.4348523695687504,11.668611060825056,0.3721821007339392,0.5484883476032517,0.22581519532842134,82.77544684399007,9.42953175357426,CODE,JAX,44.0,0.985382876245537,4.4478,2.5682012885881873,2.1008842472702263,0.4691002813733687,6.838438751175997,0.5435145617823882,1.2883597472952206,-1.339814090393018,14.0,-0.9059727952732965,100.0,0.6744907594765076,100.0,1.8539587568443932,30.0,-1.3489815189531904,77.98673703173077,1.2908517525860166,9.0,0.6744907594765952,2.2421183965612204,0.6744907594765952
Test-1,T11,XIAOMI-1,Smartphone,Test-1|T11,6,6,0,100.0,4.97699708450584,5.564531605081841,47.814747165588855,2.48196170974817,6.121698026381383,2.5091649220629195,45.69718954948691,3.248688314697578,CODE,JAX,34.1,-0.5270652593871468,5.782139999999997,0.1351684888730647,16.011044312028584,-1.3885439404883044,32.51542872563004,-1.3202590420859421,0.237422095874791,0.6207875877689806,465.001,2.6939799504628446,99.77203647416414,-2.13546029586589,83.78548796856154,-0.008657532433178416,45.0,0.49053873416479654,34.63469186980248,-0.5986921497844956,6.0,-0.6744907594765952,10.412496950431912,-0.45137844152845236
Test-1,T21,XIAOMI-2,Smartphone,Test-1|T21,6,6,0,100.0,5.762036051836988,6.038772103830717,41.88171996691709,1.143021462203618,5.033621211033095,3.2783738915525675,40.1787488756895,2.8091628089638667,CODE,JAX,33.755,-0.5797717853258614,5.678357999999998,0.32440437329535204,9.126190733339264,-0.4691002813733687,19.95405312757938,-0.40848705124064977,0.622231302878052,-0.09710236127135416,298.0,1.3609547277012957,99.82954545454544,-1.426586279632025,83.93621967278688,0.008657532433178416,46.0,0.6131734177059956,34.51631701631702,-0.6038516406865277,6.0,-0.6744907594765952,5.908689887123555,0.16924123067090277
Test-2,C2,CHC I80,Geodetic,Test-2|C2,6,6,0,100.0,0.23552626151826012,0.2892284735522594,18.54419410745234,0.12029066730138266,0.7731746593094772,0.1685673143891267,97.14401509609169,13.310725082285554,IGS,GFZ,44.0,0.985382876245537,4.4478,2.5682012885881873,0.9152163589440284,0.627441313506873,5.004340016841884,0.6766432817507776,1.237753521044722,-1.2454044439424685,13.0,-0.9139549344387,100.0,0.6744907594765076,100.0,1.8539587568443932,32.0,-1.1037121518707922,84.5532936261001,1.5770619400435153,9.0,0.6744907594765952,1.5114739594521,0.7751727613205758
Test-2,OEM2,TRIMBLE OEM MB2,OEM,Test-2|OEM2,5,4,1,80.0,0.334446965656741,0.560344055080636,41.25070106561974,0.45583407981897994,0.4799493427654975,0.35896510426810846,74.87150312619485,9.48852332703973,GRG,CODE,41.0,0.5270652593871479,4.4478,2.5682012885881873,1.6314089391253888,0.5317967628963609,7.57250925097615,0.4902317890638135,0.1423021644159207,0.7982408334423614,384.5,2.051409765508698,100.0,0.6744907594765076,70.35016340959115,-1.5520190795921893,36.0,-0.6131734177059956,61.2861802196417,0.5629406431422563,9.0,0.6744907594765952,,
Test-2,T12,XIAOMI-1,Smartphone,Test-2|T12,6,6,0,100.0,7.048606438917658,7.454650183206734,34.04083825900054,2.2818758030833886,3.5833147833388415,1.4803178392525993,18.947367749503407,1.6548337131508923,WHU,GFZ,33.27,-0.6538664667179676,6.330702000000004,-0.8650783287876109,26.55250102511868,-2.796311792325525,52.58180793002247,-2.776784434025081,0.1694287493006138,0.7476341891986711,216.0,0.7064193161382092,100.0,0.6744907594765076,85.41531445790021,0.17856619417988628,50.0,1.1037121518707922,36.75252791746982,-0.5063840666215675,6.0,-0.6744907594765952,19.009751230511068,-1.636070649279875
Test-2,T22,XIAOMI-2,Smartphone,Test-2|T22,6,6,0,100.0,6.253927094406927,6.999239225983542,35.71236559139785,3.2625901287103085,5.332974256530295,1.9798098768718697,31.88431255272729,2.3080244239004712,CODE,GFZ,32.487,-0.7734873647180073,6.004530000000001,-0.2703369777461294,17.379282397426664,-1.5712664657243918,36.77960511744021,-1.6297758277061105,0.2465042124389206,0.6038442296612674,204.001,0.6106416282925327,99.75799946222102,-2.3084849776819407,85.90508502344886,0.23482780918444712,50.0,1.1037121518707922,37.10464672876832,-0.4910366026134948,6.0,-0.6744907594765952,11.31175634965226,-0.5752954001639672
Test-3,C3,CHC I80,Geodetic,Test-3|C3,6,6,0,100.0,0.3251616052609084,0.326373717262607,15.866124701336311,0.029417609461067452,0.892795039988728,0.08843550539724174,81.01745165563798,8.139778874279358,GRG,GFZ,44.0,0.985382876245537,4.4478,2.5682012885881873,0.9266078327765688,0.6259200293918815,5.063650109805167,0.6723382372024127,0.6776159487656234,-0.20042650188503935,120.0,-0.059866043740526204,100.0,0.6744907594765076,100.0,1.8539587568443932,32.0,-1.1037121518707922,90.03001918131069,1.8157707100485112,9.0,0.6744907594765952,1.0758608455684036,0.835199770502814
Test-3,OEM3,TRIMBLE OEM MB2,OEM,Test-3|OEM3,6,5,1,83.33333333333333,0.309593927301114,0.3631433885054698,29.962311557788944,0.3441684306745992,1.2952641923687689,0.7870180878578381,106.6399917388062,38.226476041435234,GRG,CODE,41.0,0.5270652593871479,5.9304,-0.1351684888730647,2.070776596435904,0.4731210333521978,8.69869690015912,0.40848705124064977,0.5181321085964656,0.09710236127135416,69.0,-0.46695514117610437,100.0,0.6744907594765076,74.24526788279498,-1.1045751462711964,36.0,-0.6131734177059956,65.46617092492339,0.7451298782666627,9.0,0.6744907594765952,,
Test-3,T13,XIAOMI-1,Smartphone,Test-3|T13,6,6,0,100.0,3.4016396336825796,3.5714508232716,39.05309250136836,1.0774830111712226,2.80249108588474,1.0261576784383677,32.343171864738984,2.5294469487231974,WHU,GFZ,33.0,-0.695115052235223,6.524922599999999,-1.219219769635026,20.268172754061965,-1.957065798989555,41.81044430509208,-1.9949411096406537,0.9720908751017177,-0.7497911896672722,117.0,-0.08381246123673669,99.8360655737705,-1.3462172125620468,81.73323897416738,-0.2444063726819939,47.0,0.7358081012471948,30.960329703221053,-0.7588430400373517,6.0,-0.6744907594765952,13.63861628131382,-0.8959341459500318
