Product,Test,Receiver,Receiver_ID,Receiver_Class,Solution_Status,Status_Reason,Contamination_Class,POS_File,POS_Bytes,POS_Format,GT_Source,GT_X_m,GT_Y_m,GT_Z_m,GT_Lat_deg,GT_Lon_deg,GT_h_m,Start_Epoch,End_Epoch,Duration_min,Filter_Method,Outlier_N,Outlier_pct,Retention_pct,RAW_N,RAW_Bias_E_m,RAW_Bias_N_m,RAW_Bias_U_m,RAW_Bias_2D_m,RAW_Bias_3D_m,RAW_SD_E_m,RAW_SD_N_m,RAW_SD_U_m,RAW_MAE_E_m,RAW_MAE_N_m,RAW_MAE_U_m,RAW_RMSE_E_m,RAW_RMSE_N_m,RAW_RMSE_U_m,RAW_RMSE_2D_m,RAW_RMSE_3D_m,RAW_P95_2D_m,RAW_P95_3D_m,RAW_P99_2D_m,RAW_P99_3D_m,CLEAN_N,CLEAN_Bias_E_m,CLEAN_Bias_N_m,CLEAN_Bias_U_m,CLEAN_Bias_2D_m,CLEAN_Bias_3D_m,CLEAN_SD_E_m,CLEAN_SD_N_m,CLEAN_SD_U_m,CLEAN_MAE_E_m,CLEAN_MAE_N_m,CLEAN_MAE_U_m,CLEAN_RMSE_E_m,CLEAN_RMSE_N_m,CLEAN_RMSE_U_m,CLEAN_RMSE_2D_m,CLEAN_RMSE_3D_m,CLEAN_P95_2D_m,CLEAN_P95_3D_m,CLEAN_P99_2D_m,CLEAN_P99_3D_m,Delta_RMSE_2D_RAW_minus_CLEAN_m,Delta_RMSE_3D_RAW_minus_CLEAN_m,RMSE_2D_Reduction_pct,RMSE_3D_Reduction_pct
CODE,Test-1,CHC I80,C1,Geodetic,USABLE,MEETS_SOLUTION_QC,LOW,C:\IEEE\RTKLIB_DATA\CODE\CHC1.pos,818208,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213630.344056461,2370585.555446905,4146228.139523509,40.80656880861399,29.362076089712488,62.06335000041872,2023-06-05 09:05:29.000,2023-06-05 10:38:49.000,93.33333333333333,MCD_CHI2_99.73,505,9.022690727175272,90.97730927282473,5597,0.06499809694193576,0.006861070199394461,0.26747457230570465,0.06535921427277333,0.2753442821641189,0.0025796410815797158,0.00279245749063453,0.006903910341729219,0.06499809694193576,0.006861070199394461,0.26747457230570465,0.06504925799141718,0.007407476621900709,0.26756364157362544,0.06546966225006784,0.27545703651799763,0.06976319836782191,0.28791449611836656,0.07041713429970997,0.2893929170057915,5092,0.06460917352318755,0.006781917093211487,0.26687599602141315,0.06496414166914355,0.2746691408863214,0.0022893331414774853,0.002863251304580427,0.0067885690192737375,0.06460917352318755,0.006781917093211487,0.26687599602141315,0.06464971245343137,0.007361453489297284,0.26696230608710353,0.06506747511457968,0.2747774539315968,0.06902135579274063,0.2874967660176553,0.06965891596806534,0.2892976305441997,0.00040218713548816065,0.0006795825864008287,0.6143106924119559,0.24671091905703652
CODE,Test-1,XIAOMI-1,T11,Smartphone,USABLE,MEETS_SOLUTION_QC,HIGH,C:\IEEE\RTKLIB_DATA\CODE\T11.pos,769581,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213629.714091625,2370585.4419688587,4146228.732775257,40.806576410572625,29.362078578271213,61.99335000105202,2023-06-05 09:08:38.000,2023-06-05 10:36:21.000,87.71666666666667,MCD_CHI2_99.73,2534,48.138297872340424,51.861702127659576,5264,2.7334167388549147,0.12367085242116194,0.9319406240446093,2.73621299390066,2.890566531795362,0.09201091762108746,0.1317496949343039,0.2498316377617143,2.7334167388549147,0.16448214713994258,0.9319406240446093,2.734964619319477,0.18069079767618298,0.9648405655120029,2.7409269660635225,2.905786976044822,2.8937288036813076,3.2559361269161102,2.913659380125539,3.2614031718605605,2730,2.7154858227224636,0.1485592653857459,0.9763954872793644,2.7195464895343577,2.8895122869297776,0.07176923173145186,0.10033001606456018,0.16393547384651658,2.7154858227224636,0.15614401239360615,0.9763954872793644,2.716433726281906,0.1792547913861979,0.9900571412303459,2.7223417253380795,2.89678401204127,2.8286144107870697,3.0878157245940447,2.916659147336317,3.2553200279603054,0.018585240725442986,0.009002964003551828,0.6780640621057782,0.3098287685150997
CODE,Test-1,XIAOMI-2,T21,Smartphone,USABLE,MEETS_SOLUTION_QC,HIGH,C:\IEEE\RTKLIB_DATA\CODE\T21.pos,771917,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213630.142251923,2370585.9540662337,4146228.009738437,40.8065678088207,29.362081379525588,61.99334999918938,2023-06-05 09:08:38.000,2023-06-05 10:36:37.001,87.98335,MCD_CHI2_99.73,2018,38.21969696969697,61.78030303030303,5280,2.545472129272429,-1.0336232651097297,0.636231955845482,2.747326958168396,2.8200348431744207,0.031980055956872346,0.061389938446888184,0.04209028846911186,2.545472129272429,1.0336232651097297,0.636231955845482,2.545672974123738,1.0354443804208047,0.6376224262786873,2.7481986747920932,2.8211980282536953,2.805958192667661,2.8772603535510166,2.806611416815204,2.878208586085086,3262,2.5664601152496305,-1.0741288139368914,0.629472859735252,2.7821700580835493,2.852491246829672,0.013316724822720432,0.022529324647262188,0.011815201121108015,2.5664601152496305,1.0741288139368914,0.629472859735252,2.566494653016681,1.0743649863047158,0.6295837016039181,2.782293106011792,2.85263572246546,2.8061768799533975,2.877523533325019,2.806782776732227,2.8783071027628067,-0.034094431219698684,-0.0314376942117649,-1.2406101324635126,-1.1143384440554371
CODE,Test-2,CHC I80,C2,Geodetic,USABLE,MEETS_SOLUTION_QC,LOW,C:\IEEE\RTKLIB_DATA\CODE\CHC2.pos,759224,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213625.036634153,2370584.7316923365,4146233.981920026,40.806638227584614,29.362098422104026,62.074450000189245,2023-06-05 10:39:09.000,2023-06-05 12:05:41.000,86.53333333333333,MCD_CHI2_99.73,331,6.3739649528211055,93.62603504717889,5193,0.2428777057678971,0.0391980013162957,0.07679406872361291,0.24602045294298097,0.2577273603197699,0.004495582021432984,0.0023560046344693647,0.005121004804557681,0.2428777057678971,0.0391980013162957,0.07679406872361291,0.24291930002567025,0.03926872796689036,0.0769645933616721,0.24607279272828853,0.25782817524938345,0.25301770844912036,0.26388146149677716,0.25509745299505315,0.26506097313164984,4862,0.24336987512599098,0.03946218315711882,0.07660088992364347,0.2465484942528882,0.258174081494368,0.004214598123771051,0.002193731316540581,0.005211810061724871,0.24336987512599098,0.03946218315711882,0.07660088992364347,0.24340635838610297,0.03952309915486113,0.07677795070477893,0.2465942632536065,0.258270370704838,0.25317172799411064,0.26397015246830324,0.2551273804993827,0.26508862112764764,-0.0005214705253179797,-0.00044219545545454153,-0.21191718090255632,-0.17150780942650254
CODE,Test-2,TRIMBLE OEM MB2,OEM2,OEM,USABLE,MEETS_SOLUTION_QC,MODERATE,C:\IEEE\RTKLIB_DATA\CODE\OEM2.pos,521682,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213624.2258566925,2370584.9593601283,4146234.502740973,40.8066452788475,29.362105484888076,61.96445000078529,2023-06-05 11:05:35.000,2023-06-05 12:05:00.000,59.416666666666664,MCD_CHI2_99.73,973,27.285473920358946,72.71452607964106,3566,0.49706770562489033,0.17002510960913522,-0.05228677922218532,0.5253425947634468,0.5279382058103208,0.022521633479980544,0.012040748568135928,0.023400127904356655,0.49706770562489033,0.17002510960913522,0.05228677922218532,0.49757751728839517,0.1704508048311505,0.05728280471044421,0.5259627958120898,0.5290729460990847,0.5571513391847782,0.5611986786016951,0.5589909163690046,0.5620015982165476,2593,0.5068809151808789,0.17469820716760437,-0.0638831730719396,0.5361415165440748,0.5399340566809246,0.016106822444696686,0.010716554408387303,0.013307736593864495,0.5068809151808789,0.17469820716760437,0.0638831730719396,0.5071366599387582,0.17502646610082698,0.06525402177125192,0.5364903127639712,0.5404442090048764,0.5576729365532616,0.5614692973499709,0.5590262996998,0.5620343056056022,-0.010527516951881366,-0.011371262905791713,-2.0015706501876838,-2.1492807352243832
CODE,Test-2,XIAOMI-1,T12,Smartphone,USABLE,MEETS_SOLUTION_QC,MODERATE,C:\IEEE\RTKLIB_DATA\CODE\T12.pos,544449,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213624.431924084,2370584.5546303685,4146234.585787047,40.806645955838704,29.36210010718615,62.004450000822544,2023-06-05 11:03:56.001,2023-06-05 12:05:58.001,62.03333333333333,MCD_CHI2_99.73,1218,32.72434175174637,67.27565824825362,3722,5.642063896323308,0.5363495477201776,-1.750105828734349,5.667499964493568,5.931561873512282,0.1858500682660591,0.3449942981917513,0.874039934819624,5.642063896323308,0.5363495477201776,1.750105828734349,5.6451232030882945,0.6376989300654521,1.9561725302241137,5.681027715427242,6.008384714002248,5.92198690010812,6.148405414684926,5.955404148633812,6.165952046922081,2504,5.666984411860766,0.376088409719218,-1.978323831115137,5.67945022129766,6.014143330263765,0.1450444605232187,0.13811732828872977,0.5926644181313973,5.666984411860766,0.376088409719218,1.978323831115137,5.668839547745723,0.4006385776851605,2.0651576252852224,5.682979244024697,6.046579951120237,5.881719423949122,6.151101509841501,5.901672450925707,6.168300243243789,-0.0019515285974547325,-0.03819523711798922,-0.03435168239287436,-0.6356989263516546
CODE,Test-2,XIAOMI-2,T22,Smartphone,USABLE,MEETS_SOLUTION_QC,LOW,C:\IEEE\RTKLIB_DATA\CODE\T22.pos,544011,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213624.81077623,2370585.1252879505,4146233.879268708,40.80663755059349,29.36210379980534,62.00444999989122,2023-06-05 11:03:27.001,2023-06-05 12:05:25.001,61.96666666666667,MCD_CHI2_99.73,733,19.709599354665233,80.29040064533477,3719,3.4393665466844108,2.2100545808633254,-2.8129440513265798,4.088224980703339,4.9624830204989525,0.050417484412967166,0.12739997022829844,0.6882479372225254,3.4393665466844108,2.2100545808633254,2.8129440513265798,3.439735961042662,2.2137225748793496,2.895895731895106,4.090519663834968,5.011842297023005,4.154689888503223,5.321422625317893,4.161705913320985,5.329028545190114,2986,3.423888049020586,2.2126264318488085,-2.8505659639031893,4.07660705724037,4.974379500370403,0.039270577414018654,0.051500754934780874,0.5221627754077419,3.423888049020586,2.2126264318488085,2.8505659639031893,3.4241131748245146,2.2132255118763657,2.897980153108925,4.077121312939709,5.002120267270715,4.09337709611821,5.322135080129149,4.101769752116739,5.329581216126871,0.013398350895259092,0.009722029752290418,0.3275464243263848,0.19398115854653342
CODE,Test-3,CHC I80,C3,Geodetic,USABLE,MEETS_SOLUTION_QC,LOW,C:\IEEE\RTKLIB_DATA\CODE\CHC3.pos,535406,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213630.062844501,2370578.777845614,4146232.2686800687,40.806617951401094,29.362007720937548,62.06085000000894,2023-06-05 12:08:11.000,2023-06-05 13:09:10.000,60.983333333333334,MCD_CHI2_99.73,87,2.377049180327869,97.62295081967213,3660,0.33769266264499725,0.01896363212382563,0.0038543190278629985,0.338224708954854,0.3382466696403148,0.00762272191757841,0.001712307743528856,0.006880156396652262,0.33769266264499725,0.01896363212382563,0.006810642596816592,0.33777866187456923,0.01904075996498152,0.007885391158768042,0.33831490501870976,0.3384067882763958,0.3508344981940819,0.3508692803067601,0.3549050391864222,0.35493463339882886,3573,0.337407523687753,0.01894222921335272,0.0038320408544996794,0.3379388185584379,0.33796054448083634,0.007457335839280108,0.00172205126528217,0.0068257682492025825,0.337407523687753,0.01894222921335272,0.006742577637673311,0.33748990108512816,0.019020322767179326,0.007827043473014796,0.33802545172311693,0.3381160579182032,0.35018159974664365,0.35026809565194617,0.354472579812953,0.3544886871410409,0.00028945329559282307,0.0002907303581926035,0.08555735833655201,0.08591150303851107
CODE,Test-3,TRIMBLE OEM MB2,OEM3,OEM,USABLE,MEETS_SOLUTION_QC,MODERATE,C:\IEEE\RTKLIB_DATA\CODE\OEM3.pos,466202,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213629.251200865,2370579.0267578717,4146232.778311836,40.806624869547086,29.36201500816637,61.95084999874234,2023-06-05 12:08:39.000,2023-06-05 13:01:44.000,53.083333333333336,MCD_CHI2_99.73,993,31.167608286252353,68.83239171374764,3186,1.226837199014263,0.45870794428925554,-0.45389442662951235,1.3097871930352798,1.3862044010767571,0.03633682808299749,0.016095758439460827,0.011847819411448907,1.226837199014263,0.45870794428925554,0.45389442662951235,1.2273750297008208,0.4589901635957005,0.4540489811589723,1.3103898022385165,1.3868243980772041,1.356856950105577,1.4357172404230936,1.3591621647667076,1.4403694620940855,2193,1.2454464100749403,0.4660726955543585,-0.45964657739340387,1.329797171718252,1.4069952004251232,0.023325896364309522,0.012285708546813628,0.008842188281898412,1.2454464100749403,0.4660726955543585,0.45964657739340387,1.2456647260412033,0.46623451968760987,0.45973157902337997,1.330058358513506,1.407269825514273,1.357705203630234,1.4370634536390672,1.3592714563926487,1.4406000046130818,-0.019668556274989424,-0.020445427437068897,-1.5009698825028983,-1.4742621679728125
CODE,Test-3,XIAOMI-1,T13,Smartphone,USABLE,MEETS_SOLUTION_QC,HIGH,C:\IEEE\RTKLIB_DATA\CODE\T13.pos,535397,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213629.450004504,2370578.6202026657,4146232.8697262257,40.80662564609365,29.362009653819914,61.99085000064224,2023-06-05 12:08:03.223,2023-06-05 13:09:02.001,60.97963333333333,MCD_CHI2_99.73,1598,43.66120218579235,56.33879781420765,3660,2.042250198165275,-0.0940361301095302,-0.817866282258727,2.04441401523079,2.2019386733802992,0.4167584814705448,0.046368272786096024,0.3169011315810384,2.042250198165275,0.0940361301095302,0.817866282258727,2.0843286804500423,0.10484380311148433,0.8770998483444414,2.0869638883309634,2.2637849754699175,2.8048716139502448,3.075648646054838,2.8076311899159627,3.081872002047214,2062,2.132717117472261,-0.0738124895984879,-0.9393097411296177,2.133994045628974,2.331573154880821,0.22983037866221717,0.030070653027711697,0.1556978869437915,2.132717117472261,0.0738124895984879,0.9393097411296177,2.1450591342051513,0.07969999539844841,0.9521201947832976,2.146539256222319,2.348225637330802,2.6028035833460863,2.869178557711313,2.6893923746567943,2.942881715035036,-0.05957536789135576,-0.08444066186088461,-2.854642968403291,-3.730065477767224
CODE,Test-3,XIAOMI-2,T23,Smartphone,USABLE,MEETS_SOLUTION_QC,HIGH,C:\IEEE\RTKLIB_DATA\CODE\T23.pos,534667,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213629.844250305,2370579.1732667023,4146232.157660443,40.806617174854644,29.362013075283418,61.99084999971092,2023-06-05 12:08:29.001,2023-06-05 13:09:23.001,60.9,MCD_CHI2_99.73,1376,37.64705882352941,62.35294117647059,3655,-0.057703720725098245,0.47091673873594264,-4.567062611673623,0.47443892568719126,4.591639488587307,0.020356808136425972,0.03440918481336636,0.08993376936147159,0.057976922340662033,0.47091673873594264,4.567062611673623,0.061188280284623135,0.4721718361821222,4.567947763376557,0.47611999383326314,4.592693873693812,0.5204761563989247,4.700122721521474,0.5326824530521787,4.714838575111733,2279,-0.06804278614196725,0.47498873308792594,-4.583712131296871,0.47983759471974935,4.608759162714465,0.006926772922858777,0.015202308477779099,0.025762780754575002,0.06804278614196725,0.47498873308792594,4.583712131296871,0.06839429710080018,0.47523184377199906,4.58378449888702,0.4801281966421533,4.608861401414429,0.5039584925605678,4.647451953424103,0.5058575927799198,4.676002133378784,-0.004008202808890138,-0.016167527720616803,-0.8418471941537089,-0.35202711448332574
GFZ,Test-1,CHC I80,C1,Geodetic,USABLE,MEETS_SOLUTION_QC,LOW,C:\IEEE\RTKLIB_DATA\GFZ\CHC1.pos,817913,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213630.344056461,2370585.555446905,4146228.139523509,40.80656880861399,29.362076089712488,62.06335000041872,2023-06-05 09:05:29.000,2023-06-05 10:38:49.000,93.33333333333333,MCD_CHI2_99.73,779,13.923145665773012,86.076854334227,5595,0.14778103527412864,0.03659295829497042,0.4006784648865838,0.15224414269018924,0.428627473696379,0.0030222780195578287,0.003007751918317981,0.007826911104958988,0.14778103527412864,0.03659295829497042,0.4006784648865838,0.14781193090736053,0.03671633902606185,0.40075488994166575,0.15230382946610055,0.42872011648882963,0.1571059524910044,0.4439156007352421,0.15805887555294648,0.4460220126985556,4816,0.14816449573837034,0.0375236218866813,0.3994012197117082,0.15284220620267228,0.4276471376077483,0.0028232913390013655,0.0019936545412108406,0.0071067000831465735,0.14816449573837034,0.0375236218866813,0.3994012197117082,0.14819138678171503,0.037576535665511904,0.39946442771079727,0.15288127141317656,0.4277201329785916,0.15744584274344292,0.4402322395840238,0.1580994503202944,0.4442569484799462,-0.0005774419470760128,0.0009999835102380006,-0.37913816684730084,0.23324856282176704
GFZ,Test-1,XIAOMI-1,T11,Smartphone,USABLE,MEETS_SOLUTION_QC,HIGH,C:\IEEE\RTKLIB_DATA\GFZ\T11.pos,769578,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213629.714091625,2370585.4419688587,4146228.732775257,40.806576410572625,29.362078578271213,61.99335000105202,2023-06-05 09:08:38.000,2023-06-05 10:36:21.000,87.71666666666667,MCD_CHI2_99.73,2555,48.537234042553195,51.462765957446805,5264,4.410617347369771,0.1093761201909876,2.170607330305723,4.411973313675774,4.917015833100818,0.10442923316867142,0.15262439180094386,0.324018854225088,4.410617347369771,0.17173149843385047,2.170607330305723,4.411853213554655,0.18775759758190114,2.194653607223702,4.415846656463771,4.9311465349452215,4.5682167069657025,5.330195089628258,4.603012078866661,5.344183297203435,2709,4.323750493396699,0.21507136422823606,2.070446224430942,4.329096212936275,4.798731247852867,0.0396048154698317,0.02588933738601649,0.09244986036886321,4.323750493396699,0.21507136422823606,2.070446224430942,4.323931809307979,0.21662341074404953,2.0725084776454867,4.329354685588576,4.799854516914046,4.383126391861057,4.919212417639476,4.394327121385325,4.953899923161517,0.086491970875195,0.13129201803117585,1.9586724269193294,2.6625048982170294
GFZ,Test-1,XIAOMI-2,T21,Smartphone,USABLE,MEETS_SOLUTION_QC,HIGH,C:\IEEE\RTKLIB_DATA\GFZ\T21.pos,771914,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213630.142251923,2370585.9540662337,4146228.009738437,40.8065678088207,29.362081379525588,61.99334999918938,2023-06-05 09:08:38.000,2023-06-05 10:36:37.001,87.98335,MCD_CHI2_99.73,2566,48.59848484848485,51.40151515151515,5280,4.963792691403861,-0.32805747456732337,2.3487903406604946,4.9746215524252575,5.501243100812208,0.04534956018792439,0.05661599828125841,0.06918720033288343,4.963792691403861,0.32805747456732337,2.3487903406604946,4.96399980623885,0.33290609907747726,2.3498089340340047,4.975150303974979,5.502156174956173,5.0254706845958195,5.540373642892276,5.026033473551828,5.606363446366147,2714,4.998986193329182,-0.37480016933244054,2.325556856127886,5.0130168689151064,5.526169814537989,0.009760775348443851,0.007381350866609196,0.013311140752470092,4.998986193329182,0.37480016933244054,2.325556856127886,4.998995719014672,0.374872820029608,2.3255949372720637,5.013031800210723,5.526199384947074,5.025799191038716,5.539881039017411,5.026121277297797,5.541919553957228,-0.03788149623574455,-0.024043209990900927,-0.7614141065341986,-0.4369779632998593
GFZ,Test-2,CHC I80,C2,Geodetic,USABLE,MEETS_SOLUTION_QC,HIGH,C:\IEEE\RTKLIB_DATA\GFZ\CHC2.pos,759221,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213625.036634153,2370584.7316923365,4146233.981920026,40.806638227584614,29.362098422104026,62.074450000189245,2023-06-05 10:39:09.000,2023-06-05 12:05:41.000,86.53333333333333,MCD_CHI2_99.73,1829,35.22048911996919,64.77951088003081,5193,0.7364419731281066,0.3622508096848823,-0.22446554882971717,0.8207145843118493,0.8508567514650146,0.03451402578927514,0.015810832467215354,0.008171700643709413,0.7364419731281066,0.3622508096848823,0.22446554882971717,0.7372501396214372,0.3625956196678535,0.2246142169228274,0.8215919618485463,0.8517422721797939,0.8572830610929572,0.885893916803039,0.8601614789163455,0.8874221928876043,3364,0.7500355482199926,0.36876893895985086,-0.22324403390028927,0.8357893597882418,0.8650906036984292,0.01627918877292416,0.007291166510748736,0.006027619800559627,0.7500355482199926,0.36876893895985086,0.22324403390028927,0.7502121411987003,0.36884098965233786,0.22332536817888873,0.835979624422542,0.8652954134409189,0.8588100198605374,0.8867567666795455,0.8605658131188995,0.8878198998251048,-0.014387662573995708,-0.013553141261124946,-1.7511932007737867,-1.591225621154097
GFZ,Test-2,TRIMBLE OEM MB2,OEM2,OEM,USABLE,MEETS_SOLUTION_QC,HIGH,C:\IEEE\RTKLIB_DATA\GFZ\OEM2.pos,499487,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213624.2258566925,2370584.9593601283,4146234.502740973,40.8066452788475,29.362105484888076,61.96445000078529,2023-06-05 11:05:35.000,2023-06-05 12:05:00.000,59.416666666666664,MCD_CHI2_99.73,1555,45.5477445811365,54.4522554188635,3414,-0.04438275046717501,0.5178491013832118,-1.0993347139812313,0.51974755443622,1.2160075385073181,0.23782276601606758,0.5158017223909961,0.8138950883295091,0.1239483979256166,0.5178491013832118,1.0993347139812313,0.2418944596204265,0.7308496282372372,1.3677602115066874,0.7698403137596562,1.5695292621899037,1.4563299628923756,2.8392154701425496,1.4804926247697234,2.868504557563893,1859,0.045330502696492914,0.16852843931997832,-0.552579573262096,0.17451844983939196,0.5794832820029102,0.010163427364239065,0.010493109578349856,0.025868607760846953,0.045330502696492914,0.16852843931997832,0.552579573262096,0.04645529211561935,0.16885461492059883,0.5531844264652266,0.17512845327225168,0.5802439011563956,0.19736273887925265,0.636420242820201,0.1992201324663606,0.6392151069671053,0.5947118604874045,0.9892853610335082,77.25132730228432,63.03070512066761
GFZ,Test-2,XIAOMI-1,T12,Smartphone,USABLE,MEETS_SOLUTION_QC,MODERATE,C:\IEEE\RTKLIB_DATA\GFZ\T12.pos,544446,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213624.431924084,2370584.5546303685,4146234.585787047,40.806645955838704,29.36210010718615,62.004450000822544,2023-06-05 11:03:56.001,2023-06-05 12:05:58.001,62.03333333333333,MCD_CHI2_99.73,1293,34.739387426114995,65.26061257388501,3722,8.857581000789244,1.8977136721437415,-2.3203783171346353,9.058590307933342,9.351054159912263,0.30915780585071695,0.38045148535116485,1.02782232846452,8.857581000789244,1.8977136721437415,2.3203783171346353,8.862973206272759,1.9354641886526853,2.537772732650445,9.071841912239533,9.420117097109246,9.512066311681577,9.58871032271506,9.51769892881787,9.611084315820266,2429,8.883778828999434,1.7336939915184115,-2.5854277750516403,9.051365705726711,9.413376541858616,0.2195371744690883,0.15851765660515438,0.664664550608409,8.883778828999434,1.7336939915184115,2.5854277750516403,8.886489915113117,1.7409228468681461,2.66946321719449,9.055413594649039,9.440685845748124,9.403958454489144,9.601597806363472,9.416988824025697,9.612507400507738,0.01642831759049379,-0.02056874863887792,0.18109131254072075,-0.21834918214753252
GFZ,Test-2,XIAOMI-2,T22,Smartphone,USABLE,MEETS_SOLUTION_QC,HIGH,C:\IEEE\RTKLIB_DATA\GFZ\T22.pos,544008,ECEF,C:\IEEE\Ground_Truth\GNSS_GT_v1_3_TRUTH_MODEL_B_LEVEL_TABLE.csv,4213624.81077623,2370585.1252879505,4146233.879268708,40.80663755059349,29.36210379980534,62.00444999989122,2023-06-05 11:03:27.001,2023-06-05 12:05:25.001,61.96666666666667,MCD_CHI2_99.73,1490,40.06453347674106,59.93546652325894,3719,8.309768516076478,4.50153476992104,-4.9143056873274915,9.450717860331242,10.65206404712642,0.06657751790817795,0.16977845995839067,0.7275572117674715,8.309768516076478,4.50153476992104,4.9143056873274915,8.310035148228694,4.50473442720082,4.967856434224811,9.452476734930618,10.678432187145894,9.55845312540846,10.987248881506359,9.563165456417707,11.020356545384036,2229,8.277059072625056,4.476153035551947,-4.815190890509317,9.40986997197122,10.570322426560582,0.014746098924823012,0.06348381956788116,0.48044910210278013,8.277059072625056,4.476153035551947,4.815190890509317,8.277072202270826,4.476602996129381,4.83908990343278,9.410095569470004,10.581431364426273,9.447095483810743,10.896306156900037,9.458668330914792,10.905734111904582,0.04238116546061477,0.09700082271962174,0.448360431335416,0.9083807530883229
