Source_Block,Test,Receiver,Receiver_ID,Receiver_Class,RINEX_File,Epoch_N,Expected_Epoch_N,Duration_min,Header_Interval_s,Median_dt_s,Nominal_Interval_s,Epoch_Retention_pct,PhaseJump_Flag_N,Final_Phase_Transitions_N,PhaseJump_Rate_per1000,PhaseDiscontinuities_per_hour,Transitions_per_second_of_session,Interval_Match_1s,Header_vs_Empirical,Dataset_N,Median_dt_1s_N,Nominal_interval_1s_N,Header_interval_present_N,Header_interval_missing_N,All_empirically_1s,All_nominally_1s,Min_retention_pct,Max_retention_pct,Low_retention_dataset,Scope,Method,Statistic,Outcome,N,Spearman_rho,p_value,Spearman_rho_vs_MedianArc,Claim_ID,Evidence_Role,Metric,Predictor,Population,Adjustment,Statistical_Test,Rho,P,Q,Permutation_N,Source_CSV,Source_Row,Manuscript_Role,Lock_Status,LOTO_Rho_Min,LOTO_Rho_Max,Direction_Preserved_Count,Direction_Total
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,FIXED300,RobustSigma_m,RMSE2D_Product_Range_m,11.0,0.7727272727272727,0.0052994871786438,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,FIXED300,P95Abs_m,Median_RMSE2D_m,11.0,0.7000000000000001,0.0164709788365144,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,FIXED300,P95Abs_m,Median_RMSE3D_m,11.0,0.6636363636363638,0.0259841339187655,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,FIXED300,P95Abs_m,RMSE2D_Product_Range_m,11.0,0.6727272727272727,0.0233130398331859,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,LINEAR,RobustSigma_m,Median_RMSE2D_m,11.0,0.6454545454545455,0.0319627993280174,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,LINEAR,RobustSigma_m,Median_RMSE3D_m,11.0,0.7090909090909092,0.0145520519537277,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,LINEAR,RobustSigma_m,RMSE2D_Product_Range_m,11.0,0.6090909090909091,0.0466957093540988,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,LINEAR,P95Abs_m,Median_RMSE2D_m,11.0,0.6545454545454547,0.0288645989570018,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,LINEAR,P95Abs_m,Median_RMSE3D_m,11.0,0.7363636363636363,0.0097595359599169,,,,,,,,,,,,,,,,,,,,
COMMENT8_CMC_SENSITIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL,LINEAR,P95Abs_m,RMSE2D_Product_Range_m,11.0,0.5181818181818182,0.1024915397909638,,,,,,,,,,,,,,,,,,,,
